Well identifier	Surface	MD
315(G)	top_J1-2	3216.80
315(G)	base_J1-2	3220.40
315(G)	top_J1-3A	3228.20
315(G)	base_J1-3A	3234.80
315(G)	top_J1-3	3234.80
315(G)	base_J1-3	3253.80
319	BAJ	3011.80
319	top_J1-2	3012.60
319	base_J1-2	3016.60
319	top_J1-3A	3024.60
319	base_J1-3A	3029.20
319	top_J1-3	3029.20
319	base_J1-3	3042.20
319(G)	BAJ	2931.00
319(G)	top_J1-2	2934.20
319(G)	base_J1-2	2936.40
319(G)	top_J1-3A	2944.40
319(G)	base_J1-3A	2950.00
319(G)	top_J1-3	2950.00
319(G)	base_J1-3	2971.40
320	BAJ	2812.80
320	top_J1-2	2814.20
320	base_J1-2	2817.60
320	top_J1-3A	2824.60
320	base_J1-3A	2834.20
320	top_J1-3	2834.20
320	base_J1-3	2851.20
320(G)	BAJ	3043.60
320(G)	top_J1-2	3044.60
320(G)	base_J1-2	3047.60
320(G)	top_J1-3A	3053.80
320(G)	base_J1-3A	3059.80
320(G)	top_J1-3	3059.80
320(G)	base_J1-3	3080.40
321	BAJ	2763.20
321	top_J1-2	2764.60
321	base_J1-2	2769.80
321	top_J1-3A	2776.20
321	base_J1-3A	2780.60
321	top_J1-3	2780.60
321	base_J1-3	2801.80
321(G)	BAJ	3074.00
321(G)	top_J1-2	3076.20
321(G)	base_J1-2	3078.80
321(G)	top_J1-3A	3086.20
321(G)	base_J1-3A	3093.60
321(G)	top_J1-3	3093.60
321(G)	base_J1-3	3106.00
322	BAJ	2762.60
322	top_J1-2	2764.00
322	base_J1-2	2768.00
322	top_J1-3A	2776.20
322	base_J1-3A	2781.60
322	top_J1-3	2781.60
322	base_J1-3	2798.20
323	BAJ	2813.80
323	top_J1-2	2815.00
323	base_J1-2	2819.80
323	top_J1-3A	2827.80
323	base_J1-3A	2832.80
323	top_J1-3	2832.80
323	base_J1-3	2849.80
325	BAJ	3090.40
325	top_J1-2	3091.20
325	base_J1-2	3095.90
325	top_J1-3A	3101.70
325	base_J1-3	3119.30
325_1	BAJ	3117.00
325_1	top_J1-2	3118.40
325_1	base_J1-2	3127.40
325_1	top_J1-3A	3131.60
325_1	base_J1-3A	3141.00
325_1	top_J1-3	3141.00
325_1	base_J1-3	3152.00
326	BAJ	3293.60
326	top_J1-2	3295.00
326	base_J1-2	3300.40
326	top_J1-3A	3307.20
326	base_J1-3A	3314.00
326	top_J1-3	3314.00
326	base_J1-3	3332.20
327	BAJ	2936.80
327	top_J1-2	2938.00
327	base_J1-2	2942.60
327	top_J1-3A	2951.00
327	base_J1-3A	2956.60
327	top_J1-3	2956.60
327	base_J1-3	2973.40
328(G)	BAJ	3206.40
328(G)	top_J1-2	3207.20
328(G)	base_J1-2	3210.40
328(G)	top_J1-3A	3215.60
328(G)	base_J1-3A	3221.20
328(G)	top_J1-3	3221.20
328(G)	base_J1-3	3241.40
329(G)	BAJ	3081.00
329(G)	top_J1-2	3084.40
329(G)	base_J1-2	3088.60
329(G)	top_J1-3A	3097.40
329(G)	base_J1-3A	3103.60
329(G)	top_J1-3	3103.60
329(G)	base_J1-3	3125.00
330(G)	BAJ	2959.60
330(G)	top_J1-2	2960.20
330(G)	base_J1-2	2962.00
330(G)	top_J1-3A	2968.60
330(G)	base_J1-3A	2974.00
330(G)	top_J1-3	2974.00
330(G)	base_J1-3	2994.40
332(G)	BAJ	2855.60
332(G)	top_J1-2	2857.20
332(G)	base_J1-2	2859.00
332(G)	top_J1-3A	2867.20
332(G)	base_J1-3A	2872.60
332(G)	top_J1-3	2872.60
332(G)	base_J1-3	2894.80
333	BAJ	3204.00
333	top_J1-2	3205.00
333	base_J1-2	3209.80
333	top_J1-3A	3218.60
333	base_J1-3A	3224.59
333	top_J1-3	3224.59
333	base_J1-3	3242.20
334(G)	BAJ	3053.20
334(G)	top_J1-2	3054.60
334(G)	base_J1-2	3059.40
334(G)	top_J1-3A	3066.60
334(G)	base_J1-3A	3073.00
334(G)	top_J1-3	3073.00
334(G)	base_J1-3	3094.40
336(G)	BAJ	3352.40
336(G)	top_J1-2	3354.00
336(G)	base_J1-2	3363.60
336(G)	top_J1-3A	3370.80
336(G)	base_J1-3A	3379.00
336(G)	top_J1-3	3379.00
336(G)	base_J1-3	3400.40
